Region,Country,ISO.Code,RE.or.Non.RE,Group.Technology,Technology,Producer.Type,Year,Electricity.Installed.Capacity..MW.
Africa,Central African Republic,CAF,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,19
Africa,Central African Republic,CAF,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,19
Africa,Central African Republic,CAF,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,19
Africa,Central African Republic,CAF,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,19
Africa,Central African Republic,CAF,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,0
Africa,Central African Republic,CAF,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,0
Africa,Central African Republic,CAF,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,0
Africa,Central African Republic,CAF,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,0
Africa,Central African Republic,CAF,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,0
Africa,Chad,TCD,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,86
Africa,Chad,TCD,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,86
Africa,Chad,TCD,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,86
Africa,Chad,TCD,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,86
Africa,Chad,TCD,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,86
Africa,Chad,TCD,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,0
Africa,Chad,TCD,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,0
Africa,Chad,TCD,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,0
Africa,Chad,TCD,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,0
Africa,Chad,TCD,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,0
Africa,Chad,TCD,Total Renewable,Wind energy,Onshore wind energy,Off-grid,2016,1
Africa,Chad,TCD,Total Renewable,Wind energy,Onshore wind energy,Off-grid,2017,1
Africa,Chad,TCD,Total Renewable,Wind energy,Onshore wind energy,Off-grid,2018,1
Africa,Chad,TCD,Total Renewable,Wind energy,Onshore wind energy,Off-grid,2019,1
Africa,Chad,TCD,Total Renewable,Wind energy,Onshore wind energy,Off-grid,2020,1
Africa,Comoros,COM,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,22
Africa,Comoros,COM,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,22
Africa,Comoros,COM,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,22
Africa,Comoros,COM,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,22
Africa,Comoros,COM,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,22
Africa,Comoros,COM,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,1
Africa,Comoros,COM,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,1
Africa,Comoros,COM,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,1
Africa,Comoros,COM,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,1
Africa,Comoros,COM,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,1
Africa,Congo,COG,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2016,170
Africa,Congo,COG,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2017,170
Africa,Congo,COG,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2018,170
Africa,Congo,COG,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2019,170
Africa,Congo,COG,Total Non-Renewable,Fossil fuels,Fossil fuels,On-grid,2020,170
Africa,Congo,COG,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2016,201
Africa,Congo,COG,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2017,214
Africa,Congo,COG,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2018,214
Africa,Congo,COG,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2019,214
Africa,Congo,COG,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,On-grid,2020,214
Africa,Congo,COG,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2016,0
Africa,Congo,COG,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2017,1
Africa,Congo,COG,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2018,1
Africa,Congo,COG,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2019,1
Africa,Congo,COG,Total Renewable,Solar energy,Off-grid Solar photovoltaic,Off-grid,2020,1
